Union,ইউনিয়ন
Ghatnagar,ঘাটনগর
Ghazir Khamar,গাজির খামার
Ghila Chhari,ঘিলা ছড়ি
Ghior,ঘিওর
Ghoga,ঘোগা
Ghogadaha,ঘোগড়াদহ
Gholpasha,ঘোলপাশা
Ghona,ঘোনা
Ghoradhap,ঘোড়াধাপ
Ghoraghat,ঘোড়াঘাট
Ghorapakhia,ঘোড়াপাখিয়া
Ghorashal Paurashava,ঘোড়াশাল পৌরসভা
Ghorshal,ঘোড়াশাল
Ghoshbagh,ঘোষবাগ
Ghosher Para,ঘোশের পাড়া
Ghoshgaon,ঘোষগাঁও
Ghoshnagar,ঘোষনগর
Ghoshpur,ঘোষপুর
Ghuridaha,ঘুড়িদহ
Ghurka,ঘুরকা
Giasnagar,গিয়াসনগর
Gidari,গিদাড়ি
Gilachhara,গিলাছড়া
Goala,গোয়ালা
Goalandaghat Paurashava,গোয়ালন্দঘাট পৌরসভা
Goalbari,গোয়ালবাড়ি
Goaldihi,গোয়ালদিহি
Goaler Char,গোয়ালের চর
Goalkandi,গোয়ালকান্দি
Goalmari,গোয়ালমারি
Goalnagar,গোয়ালনগর
Gobaria Abdullahpur,গোবরিয়া আব্দুল্লাহপুর
Gobinda Para,গোবিন্দ পাড়া
Gobindapur,গোবিন্দপুর
Gobindasi,গোবিন্দাসী
Gobindasree,গোবিন্দশ্রী
Gobra,গোবরা
Gobratala,গোবরাতলা
Godagari,গোদাগাড়ি
Godagari Paurashava,গোদাগাড়ি পৌরসভা
Goddimari,গড্ডিমারি
Goga,গোগা
Gognagar,গগনগর
Gogram,গোগ্রাম
Gohail,গোহাইল
Gohala,গোহালা
Gohalakanda,গোহালাকান্দা
Gohalbari,গোহালবাড়ি
Gohaliabari,গোহালিয়াবাড়ি
Gokarna,গোকর্ণ
Gokul,গোকুল
Gokunda,গোকুন্ডা
Golabari,গোলাবাড়ি
Golabganj,গোলাবগঞ্জ
Golakandail,গোলাকান্দাইল
Golapganj,গোলাপগঞ্জ
Golapganj Paurashava,গোলাপগঞ্জ পৌরসভা
Golkhali,গোলখালি
Golmunda,গোলমুন্ডা
Golna,গোলনা
Gomastapur,গোমস্তাপুর
Gomnati,গোমনাটি
Gona,গোনা
Gopagram,গোপাগ্রাম
Gopal,গোপাল
Gopalganj Paurashava,গোপালগঞ্জ পৌরসভা
Gopalgram,গোপালগ্রাম
Gopalnagar,গোপালনগর
Gopalpur,গোপালপুর
Gopalpur (Lalpur) Paurashav,গোপালপুর (লালপুর) পৌরসভা
Gopalpur Paurashava,গোপালপুর পৌরসভা
Gopaya,গোপায়া
Gopedighi,গোপদিঘী
Gopinathpur,গোপীনাথপুর
Gorai,গোরাই
Goral,গোড়াল
Gorgram,গোড়গ্রাম
Gosainbari,গোসাইনবাড়ি
Gosaipur,গোসাইপুর
Gosairhat,গোসাইরহাট
Gosind Durgapur,গোসিন্দ দুর্গাপুর
Gosinga,গসিংগা
Gota Para,গোটা পাড়া
Gotamari,গোটামারি
Gotashia,গোটাশিয়া
Goula Bazar,গোয়ালা বাজার
Gourararang,গৌরারং ইউনিয়ন
Gourdwar,গৌড়দ্বার
Greda,গেরদা
Guabaria,গুয়াবাড়িয়া
Guagachhia,গুয়াগাছিয়া
Guarekha,গুয়ারেখা
Guatala,গুয়াতলা
Gujadia,গুজাদিয়া
Gulisakhali,গুলিসাখালি
Gulishakhali,গুলিশাখালি
Gulshakhali,গুলশাখালি
Guman Mardan,গুমান মর্দ্দন
Gumaniganj,গুমনিগঞ্জ
Gumti,গুমতি
Gunabati,গুনাবতী
Gunahar,গুণাহার
Gunaigachh,গুনাইগাছ
Gunaigachha,গুনাইগাছা
Gunaritala,গুনারিতলা
Gunbaha,গুণবহ
Gundhar,গুন্ধার
Guniak,গুনিয়াক
Gurai,গুরাই
Gurudaspur Paurashava,গুরুদাসপুর পৌরসভা
Guthia,গুঠিয়া
Gutudia,গুটুড়িয়া
Habakhali,হাবাখালি
Habaspur,হাবাসপুর
Habibpur,হাবিবপুর
Habibulla Nagar,হাবিবুল্লা নগর
Habiganj Paurashava,হবিগঞ্জ পৌরসভা
Habilas Dwip,হাবিলাস দ্বীপ
Habirbari,হাবিরবাড়ি
Habla,হাবলা
Habra,হাবড়া
Hadal,হাদাল
Hadira,হাদিরা
Hafizabad,হাফিজাবাদ
Haibatpur,হৈবতপুর
Haidgaon,হাইদগাঁও
Haildhar,হাইলধর
Haim Char,হাইম চর
Hairmara,হাইরমারা
Haitkandi,হাইতকান্ডি
Haizadi,হাইজাদী
Hajiganj,হাজিগঞ্জ
Hajiganj Paurashava,হাজীগঞ্জ পৌরসভা
Hajinagar,হাজিনগর
Hajipur,হাজিপুর
Hajir Para,হাজির পাড়া
Hajirbagh,হাজিরবাগ
Hajirhat,হাজিরহাট
Hakimpur,হাকিমপুর
Haladia,হালাদিয়া
Haldia,হলদিয়া
Haldia Palong,হালদিয়া পালং
Haldipur,হলদিপুর
Halidhani,হালিধানী
Halimpur,হালিমপুর
Halsa,হালসা
Haluaghat,হালুয়াঘাট
Hamidpur,হামিদপুর
Hamir Kutsha,হামির কুতশা
Hamirdi,হামিরদী
Hanar Char,হানার চর
Handial,হানডিয়াল
Hapania,হাপানিয়া
Hapchhari,হাপছড়ি
Haragachh,হরগাছ
Haragram,হরগ্রাম
Haramia,হারামিয়া
Harashpur,হরশপুর
Harati,হারাটি
Harbang,হারবাং
Hardi,হারদি
Hargaz,হারগজ
Harian,হারিয়ান
Hariarkuti,হরিয়ারকুঠি
Haribhasa,হারিভাসা
Haridasdi Mahendradi,হরিদাসদী মহেন্দ্রাদি
Haridaskati,হরিদাসকাঠি
Haridaspur,হরিদাসপুর
Haridebpur,হরিদেবপুর
Haridhali,হরিধালী
Hariharnagar,হরিহরনগর
Harinakunda Paurashava,হারিনাকুন্ড পৌরসভা
Harinarayanpur,হরিনারায়ণপুর
Harinathpur,হরিনাথপুর
Harinchara,হাড়িংছড়া
Haripur,হরিপুর
Harirampur,হরিরামপুর
Harirampur (Part),হরিরামপুর (অংশ)
Harishankarpur,হরিশংকরপুর
Harispur,হরিশপুর
Harni,হরনী
Harta,হারতা
Harukandi,হরুকান্দি
Harwalchhari,হারোয়ালছড়ি
Hasail Banari,হাসাইল বানারি
Hasara,হাসারা
Hashaighari,হাশাইঘরি
Hashimpur,হাশিমপুর
Hasnabad,হাসনাবাদ
Hassan Nagar,হাসান নগর
Hat Sherpur,হাট শেরপুর
Hatas Haripur,হাটশ হরিপুর
Hatebhanga,হাটেভাঙ্গা
Hathazari,হাটহাজারী
Hati Para,হাটি পাড়া
Hatia,হাতিয়া
Hatiandaha,হাতিয়ানদহ
Hatiara,হাতিয়ারা
Hatibandha,হাতিবান্ধা
Hatibandha Malijhikanda,হাতীবান্ধা মালিঝিকান্দা
Hatikumrul,হাটিকুমরুল
Hatila Purba,হাতিলা পূর্বা
Hatiya Paurashava,হাতিয়া পৌরসভা
Hatkalu Para,হাটকালু পাড়া
Hatkhali,হাটখালী
Hatkhola,হাটখোলা
Hatpukuria Ghatlabag,হাটপুকুরিয়া ঘাটলাবাগ
Hatur,হাটুর
Haturia Nakalia,হাতুরিয়া নাকালিয়া
Hazariganj,হাজারিগঞ্জ
Hazipur,হাজিপুর
Hazradanga,হাজরাডাঙ্গা
Hazrapur,হাজরাপুর
Hazratpur,হযরতপুর
Helatala,হেলাতলা
Hemayetpur,হেমায়েতপুর
Hemnagar,হেমনগর
Hesakhal,হেসাখাল
Hilachia,হিলাচিয়া
Hinguli,হিঙ্গুলি
Hiran,হিরণ
Hizla,হিজলা
Hizla Gaurabdi,হিজলা গৌরবদী
Hoanak,হোয়ানক
Hogalbaria,হোগলবাড়িয়া
Hogla,হোগলা
Hogla Pasha,হোগলা পাশা
Hoglabunia,হোগলাবুনিয়া
Holokhana,হলোখানা
Homna Paurashava,হোমনা পৌরসভা
Homna Union,হোমনা ইউনিয়ন
Hosendi,হোসেনদি
Hosnabad,হোসনাবাদ
Hossain Gaon,হোসেন গাঁও
Hossaindi,হোসেনদি
Hossainpur,হোসাইনপুর
Hossainpur Paurashava,হোসেনপুর পৌরসভা
Howli,হাওলি
Hugra,হুগড়া
Hujuri Para,হুজুরী পাড়া
Humaipur,হুমাইপুর
Hurka,হুরকা
Ibrahimpur,ইব্রাহিমপুর
Ichhakhali,ইছাখালী
Ichhali,ইচ্ছালী
Ichhapur,ইছাপুর
Idgaon,ইদগাঁও
Idgar,ইদগার
Idilpur,ইদিলপুর
Ikri,ইকড়ি
Illisha,ইলিশা
Iluhar,ইলুহার
Imampur,ইমামপুর
Inathganj,ইনাথগঞ্জ
Isab Pur,ইসবপুর
Isabpur,ইসবপুর
Ishakalas,ইসকলস
Ishan Gopalpur,ঈশান গোপালপুর
Ishania,ইশানিয়া
Ishwardi,ঈশ্বরদী
Ishwardi Paurashava,ঈশ্বরদীর পৌরসভা
Ishwarganj,ঈশ্বরগঞ্জ
Ishwarganj Paurashava,ঈশ্বরগঞ্জ পৌরসভা
Ishwaripur,ঈশ্বরীপুর
Isibpur,ইসিবপুর
Islam Pur,ইসলাম পুর
Islamabad,ইসলামাবাদ
Islamkati,ইসলামকাঠি
Islampur,ইসলামপুর
Islampur Paschim,ইসলামপুর পশ্চিম
Islampur Paurashava,ইসলামপুর পৌরসভা
Islampur Purba,ইসলামপুর পূর্ব
Itabaria,ইটাবারিয়া
Itail,ইটাইল
Itakhola,ইটাখোলা
Itakumari,ইটাকুমারি
Italy,ইতালি
Itna,ইটনা
Jabarhat,জবারহাট
Jadabpur,যাদবপুর
Jadu Boyra,যদু বয়রা
Jadunandi,যাদুনন্দি
Jadur Char,যাদুর চর
Jafarabad,জাফরাবাদ
Jafarganj,জাফরগঞ্জ
Jafarnagar,জাফরনগর
Jagaddal,জগদ্দল
Jagadishpur,জগদীশপুর
Jagannath Dighi,জগন্নাথ দিঘী
Jagannathpur,জগন্নাথপুর
Jagannathpur Paurashava,জগন্নাথপুর পৌরসভা
Jagatber,জগতবের
Jagati,জাগতি
Jagatpur,জগতপুর
Jagdal,জগদল
Jagua,জগুয়া
Jahajmara,জাহাজমারা
Jahanabad,জাহানাবাদ
Jahangirnagar,জাহাঙ্গীরনগর
Jahangirpur,জাহাঙ্গীরপুর
Jahanpur,জাহানপুর
Jahapur,জাহাপুর
Jaharpur,জহরপুর
Jahirabad,জহিরাবাদ
Jaifarnagar,জয়ফরনগর
Jaigir,জয়গীর
Jailashkara,জয়লশকরা
Jainkati,জৈনকাঠি
Jainsar,জাইনসার
Jaintapur,জৈন্তাপুর
Jalabari,জলাবাড়ি
Jalalabad,জালালাবাদ
Jalalpur,জালালপুর
Jalam,জালাম
Jalia Palong,জালিয়া পালং
Jalirpar,জালিরপাড়
Jalla,জল্লা
Jallabad,জল্লাবাদ
Jalma,জালমা
Jalsuka,জলসুকা
Jamal,জামাল
Jamalganj,জামালগঞ্জ
Jamalpur,জামালপুর
Jamalpur Paurashava,জামালপুর পৌরসভা
Jambaria,জামবাড়িয়া
Jamdia,জামদিয়া
Jamgaon,জামগাঁও
Jamira,জমিরা
Jamirta,জমিরতা
Jamjami,জমজমি
Jamnagar,জামনগর
Jampur,জামপুর
Jamsha,জামশা
Jamtail,জামতৈল
Jamuria,জামুরিয়া
Jamurki,জামুরকি
Jangal,জঙ্গল
Jangalia,জাংগালিয়া
Janglukhain,জাংলুখাইন
Janipur,জানিপুর
Jantrail,যনত্রাইল
Japsa,জাপসা
Jaraitala,জরাইতলা
Jaria,জারিয়া
Jashai,যশাই
Jashalong,জশালং
Jasodal,যসোদল
Jatia,জাতিয়া
Jatrapur,যাত্রাপুর
Jatsakhni,জাতসাখিনি
Jawar,জাওয়ার
Jawar Bazar,জোয়ার বাজার
Jayag,জয়াগ
Jayanti Hajra,জয়ন্তি হাজরা
Jehala,জিহালা
Jeopara,জিওপাড়া
Jessora,যসোরা
Jessore Paurashava,যশোর পৌরসভা
Jhalaishalsiri,ঝালাইশালসিরি
Jhaluka,ঝালুকা
Jhanpa,ঝাঁপা
Jhaudanga,ঝাউডাঙ্গা
Jhaudi,ঝাউদি
Jhaudia,ঝাউদিয়া
Jhaugara,ঝাউগড়া
Jhawail,ঝাওয়াইল
Jhenaidah Paurashava,ঝিনাইদহ পৌরসভা
Jhenaigati,ঝিনাইগতি
Jhikargachha,ঝিকরগাছা
Jhikargachha Paurashava,ঝিকরগাছা পৌরসভা
Jhikra,ঝিকরা
Jhilim,ঝিলিম
Jhilwanja,ঝিলংঝা
Jhingrabari,ঝিঙ্গাবাড়ী
Jhunagachh Chapani,ঝুনাগাছ চাপানি
Jiarakhi,জিয়ারাখি
Jiarkandi,জিয়ারকান্দি
Jiban Nagar Paurashava,জীবন নগর পৌরসভা
Jibtali,জিবতলী
Jinardi,জিনার্দী
Jinari,জিনারি
Jinglatali,জিংগলাতলী
Jinnaghar,জিন নগর
Jiri,জিরি
Jirtali,জিরতলী
Jiudhara,জিউধড়া
Jiyanpur,জিয়ানপুর
Joara,জোয়ারা
Joari,জোয়ারি
Joarianala,জোয়ারিয়ানালা
Jodda,জোদদা
Jogania,জোগানিয়া
Jogi Para,জোগি পাড়া
Jogikhali,যোগীখালি
Jonail,জোনাইল
Jongra,জোংড়া
Jorabari,জোড়াবাড়ি
Joradaha,জোড়াদহ
Jorekhali,জোড়েখালী
Jorgachha,জড়গাছা
Josar,জোসর
Jotbani,জোটবানী
Joy Mantap,জয় মন্টপ
Joy Siddhi,জয় সিদ্ধি
Joyag (dakshin Bara Karai),জোয়াগ (দক্ষিণ বড় করাই)
Joychandi,জয়চান্দি
Joyka,জয়কা
Joykalas,জয়কলস
Joykrishnapur,জয়কৃষ্ণপুর
Joymanirhat,জয়মনিরহাট
Joynagar,জয়নগর
Joypur,জয়পুর
Joypurhat Paurashava,জয়পুরহাট পৌরসভা
Joysree,জয়শ্রী
Juggachhala,জুজ্ঞছালা
Jugipole,জুগিপোল
Jugli,জুগলি
Juidandi,জুইদন্ডি
Juldha,জুলধা
Jummerbari,জুম্মেরবাড়ি
Junedpur,জুনেদপুর
Juniadaha,জুনিয়াদহ
Jurai Chhari,জুরাই ছড়ি
Juranpur,জুড়ানপুর
Kabai,কবাই
Kabakhali,কাবাখালি
Kabilpur,কাবিলপুর
Kabirajpur,কবিরাজপুর
Kabirhat Paurashava,কবিরহাট পৌরসভা
Kachakata,কাচকাতা
Kachhapia,কাছাপিয়া
Kachhari Kayali Para,কাছাড়ি কায়ালি পাড়া
Kachia,কচিয়া
Kachikata,কাচিকাটা
Kachina,কাচিনা
Kachpur,কাচপুর
Kachua,কচুয়া
Kachua Paurashava,কাচুয়া পৌরসভা
Kachuai,কাচুয়াই
Kachukata,কচুকাটা
Kadakati,কদাকাঠি
Kadalpur,কাদালপুর
Kadam Chilan,কদম চিলান
Kadam Rasul Paurashava,কদম রসুল পৌরসভা
Kadambari,কদমবাড়ি
Kadamtala,কদমতলা
Kadir Hanif,কাদির হানিফ
Kadir Jangal,কাদির জঙ্গল
Kadir Para,কাদির পাড়া
Kadirpur,কাদিরপুর
Kadla,কাদলা
Kadra,কাদরা
Kafrikhal,কাফ্রিখাল
Kafuria,কাফুরিয়া
Kagail,কাগাইল
Kagapasha,কাগপাশা
Kahaloo,কাহালু
Kahaloo Paurashava,কাহালু পৌরসভা
Kaiarbil,কইয়ারবিল
Kaichail,কাইচাইল
Kaichapur,কাইচাপুর
Kaijuri,কাইজুড়ি
Kaikhali,কইখালি
Kaikuri,কাইকুরি
Kaila,কৈলা
Kailag,কাইলাগ
Kailail,কাইলাইল
Kailasganj,কৈলাসগঞ্জ
Kailati,কাইলাটি
Kaimari,কাইমাড়ি
Kaimpur,কাইমপুর
Kaitail,কৈতল
Kaitala Dakshin,কৈতলা দক্ষিণ
Kaitala Uttar,কৈতলা উত্তর
Kaiyarbil,কাইয়ারবিল
Kajal Dighi Kaliganj,কাজল দিঘি কালীগঞ্জ
Kajalshar,কাজলশার
Kajulia,কাজুলিয়া
Kakailseo,কাকাইলছেও
Kakairgara,কাকাইরগাড়া
Kakanhat Paurashava,কাকানহাট পৌরসভা
Kakarkandi,কাকরকান্দি
Kakchira,কাকচিরা
Kakhara,কাখারা
Kakilakura,কাকিলাকুড়া
Kakina,কাকিনা
Kakni,কাকনি
Kakrajan,কাকরাজন
Kakua,কাকুয়া
Kala Kandi,কালা কান্দি
Kala Paharia,কালা পাহারিয়া
Kalabari,কলাবাড়ি
Kalabaria,কলাবাড়িয়া
Kaladaha,কালাদহ
Kaladaraf,কালাদরফ
Kalagachhia,কলাগাছিয়া
Kalai Majh Para,কালাই মাঝ পাড়া
Kalai Paurashava,কালাই পৌরসভা
Kalair Banga,কালাইর বাংগা
Kalaiya,কালাইয়া
Kalakanda,কলাকান্দা
Kalakhali,কালাখালি
Kalakopa,কলাকোপা
Kalam,কালাম
Kalampati,কলামপাটি
Kalamridha,কালামৃধা
Kalapakurjya,কলাপাকুর্য
Kalapania,কালাপানিয়া
Kalapur,কালাপুর
Kalarmarchhara,কালারমাছড়া
Kalaroa Paurashava,কলারোয়া পৌরসভা
Kalaruka,কআলারুকা
Kalaskati,কলসকাটি
Kalaspur,কলসপুর
Kalatala,কলাতলা
Kalatia,কলাতিয়া
Kalauzan,কালাউজান
Kaler Para,কালের পাড়া
Kalia,কালিয়া
Kalia Haripur,কালিয়া হরিপুর
Kalia Paurashava,কালিয়া পৌরসভা
Kaliais,কালিয়াইস
Kaliakair Paurashava,কলিয়াকাইর পৌরসভা
Kaliara Gabragat,কালিয়ারা গবরাগত
Kalicharanpur,কালিচরণপুর
Kalidah,কালিদহ
Kalidashpur,কালিদাশপুর
Kaliganj,কালীগঞ্জ
Kaliganj Paurashava,কালীগঞ্জ পৌরসভা
Kalighat,কালীঘাট
Kaligram,কালিগ্রাম
Kalihati Paurashava,কালিহাতী পৌরসভা
Kalika Prasad,কালিকা প্রসাদ
Kalikachchha,কালীকচ্ছা
Kalikapur,কালিকাপুর
Kalimahar,কালিমহর
Kalindi,কালিন্দি
Kalipur,কালিপুর
Kalir Bazar (Dakshin),কালির বাজার (দক্ষিণ)
Kalir Bazar (Uttar),কালির বাজার (উত্তর)
Kalisuri,কালিসুরি
Kalkalia,কালকালিয়া
Kalkini Paurashava,কালকিনি পৌরশাভা
Kalma,কালমা
Kalmakanda,কলমাকান্দা
Kalmegha,কলমেঘা
Kalora,কালোরা
Kalyani,কল্যাণী
Kalyankalas,কল্যানকলস
Kalyanpur,কল্যাণপুর
Kamalabari,কমলাবাড়ি
Kamalapur,কমলাপুর
Kamalchhari,কমলছড়ি
Kamaler Para,কামালের পাড়া
Kamalganj,কামালগঞ্জ
Kamalganj Paurashava,কামালগঞ্জ পৌরসভা
Kamalpur,কমলপুর
Kamar Chak,কামার চক
Kamar Pukur,কামার পুকুর
Kamardaha,কামারদহ
Kamarer Char,কামারের চর
Kamargaon,কামারগাঁও
Kamaria,কামারিয়া
Kamarjani,কামারজানি
Kamarkhali,কামারখালী
Kamarkhara,কামারখর
Kamarkhola,কামারখোলা
Kamat Kajal Dighi,কামাত কাজল দিঘি
Kamdia,কামদিয়া
Kamrabad,কামরাবাদ
Kanaighat,কানাইঘাট
Kanaighat Paurashava,কানাইঘাট পৌরসভা
Kanaipur,কানাইপুর
Kanakdia,কানাকদিয়া
Kanakpur,কনকপুর
Kanaksar,কনকসার
Kanalla,কানাল্লা
Kanchan Nagar,কাঞ্চন নগর
Kanchan Paurashava,কাঞ্চন পৌরসভা
Kanchana,কাঞ্চনা
Kanchanabad,কাঞ্চনাবাদ
Kanchanpur,কাঞ্চনপুর
Kancherkol,কাঁচেরকোল
Kanchi Para,কাঞ্চি পাড়া
Kanchibari,কাঁচিবাড়ি
Kanchikata,কঞ্চিকাটা
Kandhurkhil,কান্ধুরখিল
Kandi,কান্দি
Kandigaon,কান্দিগাঁও
Kandirpar,কান্দিরপাড়
Kandiura,কান্দিউরা
Kaneshwar,কানেশ্বর
Kangara Chhari,কাঙ্গারা ছড়ি
Kangsha,কংশা
Kanihari,কানিহারি
Kankapait,কনকাপাইত
Kansat,কানসাট
Kanso Para,কানসো প্যারা
Kanthal,কান্থাল
Kanthalbari,কাঠালবাড়ি
Kanthali,কাঁথালী
Kanthalia,কান্থালিয়া
Kanthaltali,কাঁথালতলি
Kaoakola,কাওয়াখোলা
Kaoaljani,কাওলজানি
Kaolibera,কাওলিবেড়া
Kaoraid,কাওরাইদ
Kapasadanga,কাপাসাডাঙ্গা
Kapashati,কাপাশহাটি
Kapasia,কপাসিয়া
Kapilmuni,কপিলমুনি
Kaptai,কাপ্তাই
Kara Para,কড়া পাড়া
Karab,কারাব
Karabunia,কারাবুনিয়া
Karaia,করাইয়া
Karaibaria,কড়ইবাড়ীয়া
Karaichara,কড়ইচরা
Karanja,করঞ্জা
Karatia,করাতিয়া
Karerhat,করেরহাট
Kargaon,কারগাঁও
Karihata,কারিহাটা
Karikandi,কারিকান্দি
Karimganj Paurashava,করিমগঞ্জ পৌরসভা
Karimpur,করিমপুর
Karmadha,কর্মধা
Karnibari,কার্ণিবাড়ি
Karpara,করপাড়া
Karpasha,করপাশা
Kasalia,কাশালিয়া
Kasba,কসবা
Kasba Majhail,কাসবা মাঝহাইল
Kasba Paurashava,কসবা পৌরসভা
Kashab,কেশব
Kashiani,কাশিয়ানি
Kashil,কাশিল
Kashimari,কাশিমারি
Kashimnagar,কাশিমনগর
Kashimpur,কাশিমপুর
Kashinagar,কাশিনগর
Kashinathpur,কাশীনাথপুর
Kashipur,কাশিপুর
Kashtabhanga,কষ্টভাঙ্গা
Kasiais,কাসিয়াইস
Kastail,কাস্তাইল
Kasundi,কাসুন্দি
Katabari,কাটাবাড়ি
Katachhara,কাটাছড়া
Katair,কাতাইর
Katakhali Paurashava,কাটাখালি পৌরসভা
Kathadia Shimulia,কাঠাদিয়া শিমুলিয়া
Katharia,কাঠাড়িয়া
Kathuli,কাথুলি
Kati,কাঠি
Katiadi,কাটিয়াদি
Katiadi Paurashava,কাটিয়াদি পৌরসভা
Katla,কাটলা
Katuli,কাটুলি
Kauarkhop,কাউয়ারখোপ
Kaundia,কাউন্দিয়া
Kaunia Bala Para,কাউনিয়া বালা পাড়া
Kawkhali,কাউখালি
Kaya,কায়া
Kayain,কায়াইন
Kayaltia,কায়ালটিয়া
Kayangghat,কায়ংঘাট
Kayaria,কয়ারিয়া
Kayba,কায়বা
Kayempur,কায়েমপুর
Kayet Para,কায়েত পাড়া
Kazibakai,কাজিবাকাই
Kazihal,কাজিহাল
Kazipur,কাজীপুর
Kazipur Paurashava,কাজীপুর পৌরসভা
Kazir Char,কাজির চর
Kazirabad,কাজিরাবাদ
Kazirbag,কাজিরবাগ
Kazirber,কাজিরবেড়
Kazla,কাজলা
Kedar,কেদার
Kedarmara,কেদারমারা
Kedarpur,কেদারপুর
Kelishahar,কেলিশহর
Kendua,কেন্দুয়া
Kendua Paurashava,কেন্দুয়া পৌরসভা
Keochia,কেওচিয়া
Keora,কেওড়া
Keorabunia,কেওরাবুনিয়া
Keorjori,কেওরজোড়ি
Keragachhi,কেরাগাছি
Keralkata,কেরালকাটা
Keran Khal,কেরন খাল
Keroa,কেরোয়া
Keshabpur,কেশবপুর
Keshabpur Paurashava,কেশবপুর পৌরসভা
Kesharhat Paurashava,কেশরহাট পৌরসভা
Kesharpar,কেশরপার
Ketkibari,কেতকিবাড়ি
Khadergaon,খাদেরগাঁও
Khadim Para,খাদিম পাড়া
Khadimnagar,খাদিমনগর
Khadimpur,খাদিমপুর
Khagakanda,খাগাকান্দা
Khagaria,খাগড়িয়া
Khagaura,খাঁগাউড়া
Khagdahar,খাগডহর
Khagrachhari,খাগড়াছড়ি
Khagrachhari Paurashava,খাগড়াছড়ি পৌরসভা
Khaiyachhara,খইয়াছড়া
Khajra,খাজড়া
Khajur,খাজুর
Khajuria,খাজুরিয়া
Khaleya,খালিয়া
Khalia,খালিয়া
Khaliajuri,খালিয়াজুড়ি
Khalilnagar,খলিলনগর
Khalilpur,খলিলপুর
Khalisa Chapani,খালিসা চাপানি
Khalishakundi,খালিশাকুণ্ডি
Khalishaur,খালিশাউর
Khalishkhali,খালিশখালী
Khalsi,খালসি
Khamar Para,খামারপাড়া
Khamarkandi,খামারকান্দি
Khan Marich,খান মারিচ
Khandarpar,খান্দারপার
Khanganj,খানগঞ্জ
Khangaon,খানগাঁও
Khanjapur,খাঞ্জাপুর
Khankhanabad,খানখানাবাদ
Khankhanapur,খানখানপুর
Khanpur,খানপুর
Khaprabhanga,খাপরাভাঙ্গা
Kharana,খড়ানা
Kharia Kazir Char,খড়িয়া কাজির চর
Kharna,খড়না
Kharnai,খরনাই
Kharnia,খরানিয়া
Kharua,খরুয়া
Khas Kanakpur,খাস কনকপুর
Khas Kaulia,খাস কাউলিয়া
Khas Pukuria,খাস পুকুরিয়া
Khas Rajbari,খাস রাজবাড়ি
Khasial,খাশিয়াল
Khaskara,খাসকড়া
Khata Madhupur,খাতা মধুপুর
Khatkhal,খাটখাল
Khatta Madhab Para,খট্টা মাধব পাড়া
Khatu Para,খাটু পাড়া
Khayerbari,খয়েরবাড়ি
Khayerpur Abdullahpur,খয়েরপুর আবদুল্লাহপুর
Khazanchigaon,খাজাঞ্চিগাঁও
Kheda Para,খেদা পাড়া
Khelna,খেলনা
Kherera,খেরেরা
Kheruajani,খেরুয়াজানি
Khesra,খেসরা
Khetlal,খেতলাল
Khidir Para,খিদির পাড়া
Khidirpur,খিদিরপুর
Khil Para,খিল পাড়া
Khila,খিলা
Khiram,খিরাম
Khoajpur,খোয়াজপুর
Khoga Kharibari,খোগা খড়িবাড়ি
Khoksa,খোকসা
Khoksa Paurashava,খোকসা পৌরসভা
Khoksabari,খোকসাবাড়ি
Khokshabari,খোকশাবাড়ি
Kholachhara,খোলাছড়া
Kholahati,খোলাহাটি
Khontakata,খন্টাকাটা
Khoragachh,খোড়াগাছ
Khotta Para,খোট্টা পাড়া
Khubjipur,খুবজিপুর
Khukni,খুকনি
Khulna Range,খুলনা রেঞ্জ
Khuniagachh,খুনিয়াগাছ
Khuniapalong,খুনিয়াপালং
Khuntakhali,খুন্তাখালি
Khuolia,খুওলিয়া
Khurda Kamarpur,খুর্দা কামারপুর
Khurushkul,খুরুশকুল
Khutamara,খুতামারা
Kichak,কিচক
Kiratan,কিরাতান
Kirtipasha,কীর্তিপাশা
Kirtipur,কীর্তিপুর
Kishoreganj,কিশোরেগঞ্জ
Kishoreganj Paurashava,কিশোরগঞ্জ পৌরসভা
Kishoregari,কিশোরগারি
Kismat Gankair,কিসমত গণকৈড়
Kochasahar,কোচাশহর
Kodailkati,কোদাইলকাঠি
Kodala,কোদলা
Kodalia,কোদালিয়া
Kodalia Shohidnagar,কোদালিয়া শহীদনগর
Kodalpur,কোদালপুর
Kok Dahara,কোক দহর
Kola,কোলা
Kola Para,কোলা পাড়া
Kolagaon,কোলাগাঁও
Kolkanda,কলকান্দা
Konabari,কোনাবাড়ি
Konakhali,কোনাখালি
Konda,কোনদা
Korsha Kariail,কর্শাকড়িয়াইল
Kotakul,কোটাকুল
Kotalipara Paurashava,কোটালিপারা পৌরসভা
Kotchandpur Paurashava,কোটচাঁদপুর পৌরসভা
Koyra,কয়রা
Krishnanagar,কৃষ্ণনগর
Krishnapur,কৃষ্ণপুর
Kuchai,কুঁচাই
Kuchaipatti,কুচাইপট্টি
Kuchiamora,কুচিয়ামোরা
Kuchlibari,কুচলিবাড়ি
Kuhalong,কুহালং
Kukua,কুকুয়া
Kukutia,কুকুটিয়া
Kulaghat,কুলাঘাট
Kulanj,কুলঞ্জ
Kulaura,কুলাউরা
Kulaura Paurashava,কুলাউরা পৌরসভা
Kulia,কুলিয়া
